timestamp,angle_roll,angle_pitch,angle_yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,target_roll,target_pitch,target_yaw,target_wx,target_wy,target_wz,rudder1,rudder2,rudder3,rudder4
2026-01-26 13:49:39.463,6.295,-19.740,4.227,0.113,0.145,0.210,-1.115,-3.168,-9.226,0.000,0.000,0.000,0.000,0.000,0.000,2.742,-7.258,-5.497,-17.292
2026-01-26 13:49:39.494,6.377,-19.654,3.969,0.005,0.052,0.207,-1.139,-3.115,-9.202,0.000,0.000,0.000,0.000,0.000,0.000,4.893,-5.107,-7.222,-15.310
2026-01-26 13:49:39.514,6.380,-19.609,3.771,-0.033,0.010,0.190,-1.235,-3.158,-9.202,0.000,0.000,0.000,0.000,0.000,0.000,5.660,-4.340,-7.393,-13.776
2026-01-26 13:49:39.526,6.267,-19.480,3.594,-0.108,0.166,0.099,-1.177,-3.187,-9.020,0.000,0.000,0.000,0.000,0.000,0.000,7.493,-2.507,-4.730,-13.627
2026-01-26 13:49:39.536,6.199,-19.335,3.531,-0.108,0.166,0.099,-1.005,-2.952,-8.991,0.000,0.000,0.000,0.000,0.000,0.000,7.152,-2.848,-0.639,-13.286
2026-01-26 13:49:39.557,6.114,-19.091,3.496,-0.016,0.127,0.002,-0.684,-2.823,-8.991,0.000,0.000,0.000,0.000,0.000,0.000,5.093,-4.907,2.602,-8.197
2026-01-26 13:49:39.578,6.100,-18.985,3.511,-0.016,0.127,0.002,-0.699,-2.790,-9.293,0.000,0.000,0.000,0.000,0.000,0.000,5.320,-4.680,2.450,-8.621
2026-01-26 13:49:39.599,6.194,-19.134,3.566,0.061,-0.062,-0.013,-0.756,-3.216,-9.293,0.000,0.000,0.000,0.000,0.000,0.000,3.786,-6.214,-0.852,-4.381
2026-01-26 13:49:39.620,6.393,-19.492,3.543,0.111,-0.438,0.042,-0.756,-3.220,-9.561,0.000,0.000,0.000,0.000,0.000,0.000,2.124,-7.876,-5.135,0.157
2026-01-26 13:49:39.662,6.468,-19.852,3.494,0.111,-0.438,0.042,-1.019,-3.244,-9.489,0.000,0.000,0.000,0.000,0.000,0.000,2.784,-7.216,-10.418,1.095
2026-01-26 13:49:39.672,6.679,-20.552,3.292,0.097,-0.531,0.128,-1.201,-3.326,-9.489,0.000,0.000,0.000,0.000,0.000,0.000,3.061,-6.939,-15.851,-0.631
2026-01-26 13:49:39.672,6.812,-20.940,3.151,0.095,-0.490,0.128,-1.273,-3.642,-8.948,0.000,0.000,0.000,0.000,0.000,0.000,3.104,-6.896,-14.914,-1.313
