timestamp,angle_roll,angle_pitch,angle_yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,target_roll,target_pitch,target_yaw,target_wx,target_wy,target_wz,rudder1,rudder2,rudder3,rudder4
2026-01-26 13:02:06.960,0.375,-4.337,-58.776,-0.024,-0.074,0.015,-0.163,-0.857,-9.738,0.000,0.000,0.000,0.000,0.000,0.000,5.436,-4.564,-1.634,-4.834
2026-01-26 13:02:06.991,0.327,-4.421,-58.993,-0.052,-0.092,0.015,-0.024,-0.761,-9.848,0.000,0.000,0.000,0.000,0.000,0.000,6.032,-3.968,-2.460,-4.776
2026-01-26 13:02:07.011,0.219,-4.540,-59.324,-0.077,-0.095,0.019,-0.048,-0.847,-9.848,0.000,0.000,0.000,0.000,0.000,0.000,6.555,-3.445,-2.676,-4.858
2026-01-26 13:02:07.023,0.201,-4.636,-59.533,-0.048,-0.094,0.021,-0.048,-0.919,-9.790,0.000,0.000,0.000,0.000,0.000,0.000,5.962,-4.038,-2.735,-4.969
2026-01-26 13:02:07.034,0.234,-4.725,-59.856,0.007,-0.083,0.033,-0.187,-0.890,-9.790,0.000,0.000,0.000,0.000,0.000,0.000,4.840,-5.160,-2.969,-5.673
2026-01-26 13:02:07.055,0.292,-4.780,-60.183,0.029,-0.053,0.092,-0.187,-0.890,-9.723,0.000,0.000,0.000,0.000,0.000,0.000,4.485,-5.515,-3.513,-7.217
2026-01-26 13:02:07.076,0.337,-4.772,-60.485,0.031,-0.009,0.092,-0.148,-0.794,-9.637,0.000,0.000,0.000,0.000,0.000,0.000,4.376,-5.624,-3.851,-9.478
2026-01-26 13:02:07.096,0.479,-4.700,-61.011,0.068,0.040,0.110,0.033,-0.861,-9.637,0.000,0.000,0.000,0.000,0.000,0.000,3.623,-6.377,-3.574,-11.203
2026-01-26 13:02:07.127,0.613,-4.624,-61.384,0.099,0.062,0.077,0.033,-0.861,-9.633,0.000,0.000,0.000,0.000,0.000,0.000,3.109,-6.891,-2.874,-11.222
2026-01-26 13:02:07.137,0.718,-4.554,-61.647,0.065,0.065,0.042,0.033,-0.967,-9.685,0.000,0.000,0.000,0.000,0.000,0.000,2.955,-7.045,-1.784,-10.352
2026-01-26 13:02:07.157,0.744,-4.500,-61.786,0.038,0.065,0.042,-0.120,-0.828,-9.738,0.000,0.000,0.000,0.000,0.000,0.000,4.241,-5.759,-0.385,-8.981
2026-01-26 13:02:07.178,0.709,-4.402,-61.953,-0.012,0.071,0.004,-0.120,-0.828,-9.738,0.000,0.000,0.000,0.000,0.000,0.000,5.098,-4.902,0.687,-8.135
2026-01-26 13:02:07.199,0.681,-4.342,-62.057,-0.026,0.075,0.004,-0.206,-0.675,-9.838,0.000,0.000,0.000,0.000,0.000,0.000,5.524,-4.476,1.359,-7.657
