timestamp,angle_roll,angle_pitch,angle_yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,target_roll,target_pitch,target_yaw,target_wx,target_wy,target_wz,rudder1,rudder2,rudder3,rudder4
2026-01-26 12:52:19.281,0.119,-4.739,-32.818,1.589,-0.265,-0.379,0.426,-0.876,-8.341,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,9.848,14.449
2026-01-26 12:52:19.313,3.379,-5.169,-31.622,2.348,-0.260,-0.369,-0.077,-0.675,-9.149,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,9.554,13.932
2026-01-26 12:52:19.323,5.506,-5.366,-30.968,2.504,-0.199,-0.262,-0.723,-0.493,-10.121,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,6.475,8.447
2026-01-26 12:52:19.345,8.594,-5.558,-30.186,2.140,-0.093,-0.089,-1.321,-0.421,-10.810,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,1.763,-0.648
2026-01-26 12:52:19.365,9.738,-5.597,-29.975,1.577,-0.061,0.066,-1.723,-0.378,-11.303,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,-3.836,-7.405
2026-01-26 12:52:19.386,10.406,-5.561,-29.857,0.426,-0.013,0.121,-2.163,-0.469,-11.341,0.000,0.000,0.000,0.000,0.000,0.000,-2.760,-12.760,-5.081,-10.634
2026-01-26 12:52:19.407,10.045,-5.458,-29.915,-0.197,0.036,0.177,-2.445,-0.550,-11.226,0.000,0.000,0.000,0.000,0.000,0.000,8.949,-1.051,-6.370,-13.819
2026-01-26 12:52:19.428,8.402,-5.096,-30.362,-1.235,0.171,0.295,-2.622,-0.488,-11.307,0.000,0.000,0.000,0.000,0.000,0.000,29.699,19.699,-8.384,-21.223
2026-01-26 12:52:19.438,5.312,-4.795,-31.177,-2.211,0.291,0.444,-2.292,-0.660,-10.814,0.000,0.000,0.000,0.000,0.000,0.000,35.000,25.000,-12.621,-28.917
2026-01-26 12:52:19.459,2.639,-4.478,-32.243,-2.811,0.334,0.453,-1.608,-0.670,-10.092,0.000,0.000,0.000,0.000,0.000,0.000,35.000,25.000,-11.461,-30.801
2026-01-26 12:52:19.479,-1.799,-3.957,-33.096,-3.179,0.347,0.312,-0.679,-0.904,-9.250,0.000,0.000,0.000,0.000,0.000,0.000,35.000,25.000,-5.550,-25.420
2026-01-26 12:52:19.532,-3.861,-3.753,-33.743,-2.671,0.250,0.152,0.086,-0.861,-8.532,0.000,0.000,0.000,0.000,0.000,0.000,35.000,25.000,-1.067,-17.077
2026-01-26 12:52:19.542,-5.504,-3.560,-34.033,-1.516,0.015,-0.009,0.603,-0.962,-7.814,0.000,0.000,0.000,0.000,0.000,0.000,34.423,24.423,0.492,-5.810
2026-01-26 12:52:19.574,-5.617,-3.696,-34.007,-0.548,-0.111,-0.144,1.005,-1.053,-7.527,0.000,0.000,0.000,0.000,0.000,0.000,15.956,5.956,3.560,1.988
2026-01-26 12:52:19.594,-4.145,-4.078,-33.532,1.069,-0.292,-0.285,1.201,-1.086,-7.450,0.000,0.000,0.000,0.000,0.000,0.000,-17.400,-27.400,5.468,11.371
2026-01-26 12:52:19.605,-2.249,-4.382,-32.909,1.935,-0.358,-0.432,0.986,-0.971,-7.728,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,10.141,18.459
2026-01-26 12:52:19.615,1.959,-4.977,-31.464,3.046,-0.403,-0.493,0.316,-0.766,-8.814,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,11.621,21.794
2026-01-26 12:52:19.647,4.820,-5.267,-30.577,3.344,-0.309,-0.392,-0.584,-0.273,-10.312,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,9.509,15.852
2026-01-26 12:52:19.657,8.846,-5.459,-29.602,2.752,-0.063,-0.089,-1.469,-0.220,-11.518,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,2.479,-1.320
2026-01-26 12:52:19.657,9.920,-5.348,-29.539,1.665,0.052,0.241,-1.828,-0.038,-12.140,0.000,0.000,0.000,0.000,0.000,0.000,-25.000,-35.000,-8.582,-16.678
2026-01-26 12:52:19.688,9.419,-4.920,-29.918,-0.465,0.194,0.345,-1.962,-0.153,-12.121,0.000,0.000,0.000,0.000,0.000,0.000,15.674,5.674,-9.812,-23.757
2026-01-26 12:52:19.698,7.032,-4.621,-30.467,-1.611,0.254,0.306,-1.885,-0.455,-11.169,0.000,0.000,0.000,0.000,0.000,0.000,31.406,21.406,-7.454,-23.047
2026-01-26 12:52:19.719,5.382,-4.430,-30.809,-1.851,0.179,0.269,-1.680,-0.660,-9.991,0.000,0.000,0.000,0.000,0.000,0.000,35.000,25.000,-7.177,-20.341
2026-01-26 12:52:19.760,3.459,-4.341,-31.296,-1.403,-0.043,0.239,-1.378,-0.871,-9.293,0.000,0.000,0.000,0.000,0.000,0.000,35.000,25.000,-9.219,-15.913
2026-01-26 12:52:19.770,3.029,-4.392,-31.749,-0.933,-0.127,0.173,-1.321,-0.943,-8.991,0.000,0.000,0.000,0.000,0.000,0.000,23.668,13.668,-9.467,-10.382
2026-01-26 12:52:19.781,2.736,-4.566,-32.041,-0.367,-0.157,0.090,-1.101,-1.058,-8.924,0.000,0.000,0.000,0.000,0.000,0.000,12.032,2.032,-6.738,-6.463
2026-01-26 12:52:19.802,2.553,-4.639,-32.136,-0.290,-0.106,0.005,-0.833,-0.904,-8.948,0.000,0.000,0.000,0.000,0.000,0.000,10.799,0.799,-2.339,-4.087
2026-01-26 12:52:19.823,2.161,-4.530,-32.136,-0.325,0.104,-0.042,-0.694,-0.794,-9.427,0.000,0.000,0.000,0.000,0.000,0.000,11.528,1.528,3.905,-6.581
2026-01-26 12:52:19.844,1.645,-4.317,-32.155,-0.410,0.207,-0.032,-0.421,-0.742,-9.403,0.000,0.000,0.000,0.000,0.000,0.000,12.674,2.674,4.943,-8.386
2026-01-26 12:52:19.854,1.366,-4.150,-32.209,-0.388,0.200,-0.025,-0.120,-0.541,-9.747,0.000,0.000,0.000,0.000,0.000,0.000,12.753,2.753,4.983,-9.023
2026-01-26 12:52:19.896,1.004,-3.894,-32.307,-0.336,0.169,-0.016,-0.019,-0.464,-10.015,0.000,0.000,0.000,0.000,0.000,0.000,11.696,1.696,4.003,-8.725
2026-01-26 12:52:19.948,0.650,-3.793,-32.504,-0.286,0.110,-0.009,0.153,-0.397,-10.006,0.000,0.000,0.000,0.000,0.000,0.000,11.011,1.011,2.933,-8.209
2026-01-26 12:52:19.958,0.531,-3.755,-32.648,-0.182,0.053,0.000,0.148,-0.402,-9.944,0.000,0.000,0.000,0.000,0.000,0.000,8.633,-1.367,1.051,-7.051
2026-01-26 12:52:19.979,0.469,-3.789,-32.884,-0.066,-0.032,0.024,0.033,-0.450,-9.838,0.000,0.000,0.000,0.000,0.000,0.000,6.974,-3.026,-1.197,-6.721
2026-01-26 12:52:20.010,0.522,-3.841,-33.131,0.019,-0.063,0.031,-0.033,-0.531,-9.723,0.000,0.000,0.000,0.000,0.000,0.000,4.610,-5.390,-2.488,-5.984
2026-01-26 12:52:20.020,0.631,-3.934,-33.349,0.058,-0.068,0.022,-0.182,-0.593,-9.704,0.000,0.000,0.000,0.000,0.000,0.000,4.002,-5.998,-2.262,-5.485
2026-01-26 12:52:20.052,0.676,-3.961,-33.563,0.042,-0.044,0.023,-0.263,-0.627,-9.700,0.000,0.000,0.000,0.000,0.000,0.000,4.151,-5.849,-1.809,-6.066
2026-01-26 12:52:20.052,0.674,-3.974,-33.789,-0.018,-0.014,0.022,-0.316,-0.613,-9.767,0.000,0.000,0.000,0.000,0.000,0.000,5.408,-4.592,-1.151,-6.639
2026-01-26 12:52:20.083,0.617,-3.963,-33.952,-0.062,0.002,0.010,-0.282,-0.603,-9.743,0.000,0.000,0.000,0.000,0.000,0.000,6.246,-3.754,-0.361,-6.449
2026-01-26 12:52:20.103,0.478,-3.930,-34.209,-0.105,0.020,-0.004,-0.211,-0.593,-9.709,0.000,0.000,0.000,0.000,0.000,0.000,7.108,-2.892,0.543,-6.245
2026-01-26 12:52:20.114,0.393,-3.902,-34.447,-0.073,0.024,-0.011,-0.148,-0.541,-9.786,0.000,0.000,0.000,0.000,0.000,0.000,6.704,-3.296,0.887,-6.035
2026-01-26 12:52:20.145,0.354,-3.876,-34.611,-0.061,0.025,-0.002,-0.115,-0.522,-9.872,0.000,0.000,0.000,0.000,0.000,0.000,6.228,-3.772,0.582,-6.412
2026-01-26 12:52:20.165,0.268,-3.846,-34.835,-0.082,0.013,0.001,-0.005,-0.522,-9.872,0.000,0.000,0.000,0.000,0.000,0.000,6.658,-3.342,0.217,-6.303
2026-01-26 12:52:20.207,0.203,-3.831,-35.009,-0.084,0.011,0.000,0.033,-0.464,-9.967,0.000,0.000,0.000,0.000,0.000,0.000,6.678,-3.322,0.211,-6.211
2026-01-26 12:52:20.217,0.054,-3.808,-35.363,-0.123,0.012,0.028,0.033,-0.445,-10.068,0.000,0.000,0.000,0.000,0.000,0.000,7.493,-2.507,-0.864,-7.352
