timestamp,angle_roll,angle_pitch,angle_yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,target_roll,target_pitch,target_yaw,target_wx,target_wy,target_wz,rudder1,rudder2,rudder3,rudder4
2026-01-26 12:50:04.646,3.207,-9.858,-49.358,0.120,0.003,-0.011,-0.531,-1.603,-9.652,0.000,0.000,0.000,0.000,0.000,0.000,2.600,-7.400,0.494,-5.642
2026-01-26 12:50:04.667,3.346,-9.882,-49.483,0.126,-0.007,-0.019,-0.498,-1.579,-9.719,0.000,0.000,0.000,0.000,0.000,0.000,2.499,-7.501,0.661,-5.170
2026-01-26 12:50:04.687,3.381,-9.882,-49.598,0.063,-0.006,-0.011,-0.493,-1.641,-9.709,0.000,0.000,0.000,0.000,0.000,0.000,3.747,-6.253,0.309,-5.457
2026-01-26 12:50:04.709,3.378,-9.871,-49.734,0.009,0.007,-0.003,-0.464,-1.627,-9.642,0.000,0.000,0.000,0.000,0.000,0.000,4.671,-5.329,0.157,-5.944
2026-01-26 12:50:04.730,3.365,-9.853,-49.879,-0.004,0.014,0.001,-0.517,-1.598,-9.676,0.000,0.000,0.000,0.000,0.000,0.000,5.084,-4.916,0.230,-6.315
2026-01-26 12:50:04.751,3.372,-9.842,-50.040,0.009,0.005,0.004,-0.517,-1.627,-9.671,0.000,0.000,0.000,0.000,0.000,0.000,4.861,-5.139,-0.012,-6.329
2026-01-26 12:50:04.772,3.448,-9.853,-50.175,0.061,-0.020,-0.003,-0.546,-1.660,-9.604,0.000,0.000,0.000,0.000,0.000,0.000,3.774,-6.226,-0.286,-5.501
2026-01-26 12:50:04.792,3.639,-9.918,-50.301,0.156,-0.040,-0.015,-0.584,-1.660,-9.513,0.000,0.000,0.000,0.000,0.000,0.000,2.153,-7.847,-0.098,-4.709
2026-01-26 12:50:04.813,3.871,-9.922,-50.387,0.211,-0.033,-0.023,-0.608,-1.646,-9.494,0.000,0.000,0.000,0.000,0.000,0.000,0.785,-9.215,0.251,-4.419
2026-01-26 12:50:04.834,4.145,-9.970,-50.466,0.238,-0.018,-0.021,-0.627,-1.637,-9.513,0.000,0.000,0.000,0.000,0.000,0.000,0.319,-9.681,0.372,-4.710
2026-01-26 12:50:04.865,4.401,-9.947,-50.528,0.246,-0.009,-0.017,-0.646,-1.627,-9.585,0.000,0.000,0.000,0.000,0.000,0.000,0.071,-9.929,0.510,-5.146
2026-01-26 12:50:04.876,4.659,-9.970,-50.593,0.233,-0.001,-0.015,-0.670,-1.627,-9.680,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-9.700,0.575,-5.339
2026-01-26 12:50:04.897,4.785,-9.949,-50.663,0.156,0.007,-0.001,-0.708,-1.646,-9.733,0.000,0.000,0.000,0.000,0.000,0.000,1.885,-8.115,0.181,-6.096
2026-01-26 12:50:04.907,4.805,-9.917,-50.775,0.036,0.028,0.014,-0.770,-1.651,-9.719,0.000,0.000,0.000,0.000,0.000,0.000,3.934,-6.066,-0.056,-7.052
2026-01-26 12:50:04.928,4.787,-9.870,-50.891,-0.005,0.041,0.015,-0.809,-1.603,-9.762,0.000,0.000,0.000,0.000,0.000,0.000,5.090,-4.910,0.230,-7.423
2026-01-26 12:50:04.949,4.741,-9.838,-51.002,-0.027,0.015,0.007,-0.809,-1.608,-9.757,0.000,0.000,0.000,0.000,0.000,0.000,5.470,-4.530,0.084,-6.681
2026-01-26 12:50:04.970,4.726,-9.852,-51.095,-0.011,-0.010,-0.001,-0.770,-1.613,-9.680,0.000,0.000,0.000,0.000,0.000,0.000,5.229,-4.771,-0.152,-5.763
2026-01-26 12:50:04.991,4.708,-9.873,-51.193,-0.003,-0.016,-0.003,-0.780,-1.641,-9.671,0.000,0.000,0.000,0.000,0.000,0.000,5.089,-4.911,-0.176,-5.568
